标题,小区名称,小区信息,上传时间,总价(万),单价(元/平)
标题,小区名称,小区信息,上传时间,总价(万),单价(元/平)
标题,小区名称,小区信息,上传时间,总价(万),单价(元/平)
天鹅湾158一梯一户平层，三室两卫全明户型,恒大天鹅湾,,,239,"15,088"
松山南区二楼，南北通透，保持干净，诚心出售，可议,松山南区,,,45,"6,429"
北行商圈 长江南小区 三室一厅一卫 有钥匙随时看房,长江南小区,,,51,"6,506"
小面积，5楼，近地铁，交通便利，园区安静适宜,延河社区,,,37,"9,888"
价格打下来了家人们南向客卧分离一室全天采光拎包住,华强城二期,,,52,"10,400"
格林春晓 3室 不把不临 好楼层 采光好 采暖好,格林春晓,,,105,"9,214"
望花新村 2室1厅 南,望花新村,,,30,"5,137"
新上万科城四期 南北通透 三室精装修  铁五+南昌,万科城四期,,,220,"17,596"
清水两室 封闭园区 视野开阔  全天采光,宝地铭郡,,,36.8,"5,412"
万科公园大道 电梯房 全天采光. 精装修,万科公园大道,,,36,"8,543"
房主诚心卖 位置好 看房方便 光线好 南京三 134,红星社区,,,51,"13,924"
坤湖精装修房源中间楼层视野开阔南北通透格局,荣盛坤湖郦舍,,,61,"7,625"
交通出行：多条公交线路四通八达 ，地铁一号线,新润万寿里,,,82,"12,245"
美的城小高.好楼层，南北标准户型精装修,美的城,,,88,"9,991"
向工小区 塔湾车行汽配城中间楼层房主急卖,向工小区,,,15,"3,948"
中南世纪城 2室1厅 南,中南世纪城,,,66,"7,602"
中间楼层，精装修，三叶草户型，好位置,万科西宸之光,,,132,"10,732"
新市府，龙湖品牌，好楼层，全体采光，近地铁，双商场,龙湖云峰原著,,,279,"19,102"
虹桥、地铁口、楼层好南向采光好、中海寰宇商圈,汾河社区,,,45,"11,250"
高区楼层 视野好 装修保持良好 业主素质高 交通便利,鑫丰俪城,,,36,"8,850"
沈铁太原佳园 3室2厅 东 南 北,沈铁太原佳园,,,192,"13,860"
万科北宸 房龄新 南北标户 采光好,万科北宸之光,,,83,"10,247"
海逸俩室  精装修 满五 南北标户,海逸铭筑,,,47,"5,833"
新市府万达公园，三室改善，南北通透格局好,万达·公园ONE,,,180,"13,671"
外滩三号两室南北户型采光好交通便利双地铁南京一126,外滩叁号,,,110,"11,110"
南北通透，光线充足，园区出门七中朝阳一,荣盛坤湖郦舍,,,48,"5,355"
房子满五年 两室 采光充足 户型方正 房主诚心出售,马总花园,,,69.8,"9,513"
急售南北户型采光好 楼层好 离地铁口近 交通方便,明发锦绣华城,,,65,"5,509"
三盛颐景御园 3室1厅 南 北,三盛颐景御园,,,75,"7,127"
泰莱16区 洋房 中间楼层 精装 南北通透,泰莱16区,,,83,"9,274"
